Date,EXPINF10YR,REAINTRATREARAT10Y,REALRATEINF10,FEDFUNDS
4/1/90,3.9574181,4.55216196,8.50958006,8.26
5/1/90,4.1366521,4.80506176,8.94171386,8.18
6/1/90,3.9542983,4.38261115,8.33690945,8.29
7/1/90,3.8638041,4.3418185,8.2056226,8.15
8/1/90,3.8256958,4.17053207,7.99622787,8.13
9/1/90,4.0734267,4.3987447,8.4721714,8.2
10/1/90,3.9925768,4.20053902,8.19311582,8.11
11/1/90,3.9799187,4.05885498,8.03877368,7.81
12/1/90,3.8566272,3.8939207,7.7505479,7.31
1/1/91,3.8045971,3.92293115,7.72752825,6.91
2/1/91,3.7259127,3.90705382,7.63296652,6.25
3/1/91,3.8681694,4.17583618,8.04400558,6.12
4/1/91,3.7655984,4.1098331,7.8754315,5.91
5/1/91,3.7827617,4.04991631,7.83267801,5.78
6/1/91,3.865324,4.18764426,8.05296826,5.9
7/1/91,3.8906803,4.22225375,8.11293405,5.82
8/1/91,3.8552348,4.13991739,7.99515219,5.66
9/1/91,3.6904141,3.87849555,7.56890965,5.45
10/1/91,3.589857,3.63786206,7.22771906,5.21
11/1/91,3.5532004,3.56505772,7.11825812,4.81
12/1/91,3.4956178,3.41033346,6.90595126,4.43
1/1/92,3.3688217,3.19854245,6.56736415,4.03
2/1/92,3.5751286,3.62829159,7.20342019,4.06
3/1/92,3.6100297,3.66026498,7.27029468,3.98
4/1/92,3.641295,3.78985987,7.43115487,3.73
5/1/92,3.6711864,3.74616997,7.41735637,3.82
6/1/92,3.5871738,3.56857666,7.15575046,3.76
7/1/92,3.4468602,3.35309944,6.79995964,3.25
8/1/92,3.3154797,3.1248226,6.4403023,3.3
9/1/92,3.2081161,2.95734236,6.16545846,3.22
10/1/92,3.0892278,2.72804375,5.81727155,3.1
11/1/92,3.3433578,3.32463334,6.66799114,3.09
12/1/92,3.4364061,3.50968543,6.94609153,2.92
1/1/93,3.3294652,3.26790846,6.59737366,3.02
2/1/93,3.1872819,3.00478524,6.19206714,3.03
3/1/93,3.0120671,2.67342493,5.68549203,3.07
4/1/93,3.0608057,2.77451693,5.83532263,2.96
5/1/93,3.0064162,2.66472062,5.67113682,3
6/1/93,2.9998339,2.76123734,5.76107124,3.04
7/1/93,2.946292,2.59179878,5.53809078,3.06
8/1/93,2.9933546,2.70290307,5.69625767,3.03
9/1/93,2.8470506,2.45058069,5.29763129,3.09
10/1/93,2.8473516,2.39884319,5.24619479,2.99
11/1/93,2.9136774,2.56229533,5.47597273,3.02
12/1/93,2.9813298,2.72011647,5.70144627,2.96
1/1/94,3.0223498,2.77268493,5.79503473,3.05
2/1/94,2.9679993,2.62016875,5.58816805,3.25
3/1/94,3.2001088,2.97120305,6.17131185,3.34
4/1/94,3.4756939,3.65918278,7.13487668,3.56
5/1/94,3.4511028,3.62457709,7.07567989,4.01
6/1/94,3.4930951,3.59356552,7.08666062,4.25
